,bodyId,type,roi,x,y,z,confidence,linksTo
304,5813087532,post,SPS(R),25188,11819,24167,0.99774,4903
305,5813087532,post,PLP(R),16803,13527,25674,0.46151692,3868
306,5813087532,post,PLP(R),16850,13517,25579,0.4741361,3876
307,5813087532,post,SPS(R),18140,10391,22430,0.881,3261
308,5813087532,post,SPS(R),16546,10872,23709,0.656,4255
309,5813087532,post,SPS(R),16519,10743,23699,0.787566,4245
310,5813087532,post,SPS(R),16430,10671,23535,0.48512346,4278
311,5813087532,post,SPS(R),15414,10845,24989,0.46767977,3589
312,5813087532,pre,PB,19276,11069,17049,0.989,2604
313,5813087532,pre,PB,18735,11889,18053,0.946,1902
314,5813087532,pre,PB,18865,11191,18073,0.985,2126
315,5813087532,pre,PB,18828,11065,18019,0.918,2163
316,5813087532,post,IB,25058,11705,23161,0.867237,4782
317,5813087532,post,SPS(R),16145,12991,26506,0.942311,3726
318,5813087532,post,SPS(R),16099,12913,26439,0.9913,3720
319,5813087532,post,SPS(R),19380,10442,21859,0.921608,3054
320,5813087532,post,SPS(R),19548,10522,21861,0.6151,4353
321,5813087532,post,SPS(R),19469,10423,21864,0.441,3056
322,5813087532,post,SPS(R),16681,10690,23419,0.884348,3374
323,5813087532,post,IB,23023,11023,21964,0.48237282,4460
324,5813087532,post,SPS(R),19800,10638,21639,0.620572,3013
325,5813087532,post,IB,23671,11143,23148,0.4796841,4915
326,5813087532,post,SPS(R),19761,10508,21656,0.990604,3004
327,5813087532,post,IB,22949,10986,21950,0.4790029,4487
328,5813087532,post,SPS(R),19607,10423,21706,0.974,3047
329,5813087532,post,SPS(R),19661,10424,21704,0.953545,3047
330,5813087532,post,,21850,11293,19994,0.46486706,5063
331,5813087532,post,SPS(R),19014,10414,22205,0.78215,4292
332,5813087532,post,SPS(R),15924,10582,23240,0.4625051,5125
333,5813087532,post,,21796,11269,20008,0.536312,5064
334,5813087532,post,SPS(R),16623,10592,23250,0.323,3358
335,5813087532,post,SPS(R),18877,10467,22166,0.800077,4280
336,5813087532,post,SPS(R),18793,10487,22220,0.46928525,3199
337,5813087532,post,IB,21758,12100,19432,0.901627,1015
